ID_NR,year,day_number,age_for_analyses,cub_status,cub_number,ecotype,lon,lat,physical,merking,GPS,GLS,TDR,den_GPS,den_GLS,den_TDR,den_remote,den_cap,den_excl_cap,event,year_death,ID_NR_year,hopen,hopen_when_base
7729,1988,96,8,yr,2,O,16.47,77,1,n,0,0,0,NA,NA,NA,NA,0,NA,8,NA,7729_1988,0,0
7729,2000,98,20,n,NA,O,22.973,77.603,1,r,0,0,0,NA,NA,NA,NA,NA,NA,11,NA,7729_2000,0,0
7732,1988,103,11,n,NA,NA,16.5,77,1,n,0,0,0,NA,NA,NA,NA,NA,NA,11,NA,7732_1988,0,0
7733,1988,105,4,NA,NA,NA,16.2,77,1,n,0,0,0,NA,NA,NA,NA,NA,NA,3,NA,7733_1988,0,0
7736,1989,83,7,n,NA,O,16.5,77,1,n,0,0,0,NA,NA,NA,NA,NA,NA,11,NA,7736_1989,0,0
7737,1989,84,2,NA,NA,C,15.7,77,1,n,0,0,0,NA,NA,NA,NA,NA,NA,1,NA,7737_1989,0,0
7738,1989,84,9,yr,2,C,16,77,1,n,0,0,0,NA,NA,NA,NA,NA,NA,8,NA,7738_1989,0,0
7741,1989,85,2,NA,NA,O,16.5,77,1,n,0,0,0,NA,NA,NA,NA,NA,NA,1,NA,7741_1989,0,0
7750,1990,63,9,yr,1,O,14.7,77.5,1,n,0,0,0,NA,NA,NA,NA,NA,NA,7,NA,7750_1990,0,0
7752,1990,65,12,yr,2,O,14.7,77.5,1,n,0,0,0,NA,NA,NA,NA,NA,NA,8,NA,7752_1990,0,0
7753,2009,112,20,yr,1,O,18.973,78.323,1,r,0,0,0,NA,NA,NA,NA,0,NA,7,NA,7753_2009,0,0
7753,2010,NA,21,NA,NA,O,NA,NA,0,NA,1,0,1,0,NA,0,0,NA,0,14,NA,7753_2010,NA,NA
7753,2011,NA,22,NA,NA,O,NA,NA,0,NA,0,0,1,NA,NA,1,1,1,1,15,NA,7753_2011,NA,NA
7753,2012,96,23,yr,1,O,21.149,79.533,1,r,0,0,1,NA,NA,0,0,0,0,7,NA,7753_2012,0,0
7755,1990,66,14,2yr,2,C,16.2,77.4,1,n,0,0,0,NA,NA,NA,NA,0,NA,10,NA,7755_1990,0,0
7755,1991,NA,15,NA,NA,C,NA,NA,0,NA,1,0,0,1,NA,NA,1,NA,1,15,NA,7755_1991,NA,NA
7757,1990,66,2,NA,NA,C,16.2,77.1,1,n,0,0,0,NA,NA,NA,NA,NA,NA,1,NA,7757_1990,0,0
7757,1992,104,4,NA,NA,C,17.383,77.025,1,r,0,0,0,NA,NA,NA,NA,NA,NA,3,NA,7757_1992,0,0
7757,1993,NA,5,NA,NA,C,NA,NA,0,NA,1,0,0,0,NA,NA,0,NA,0,12,NA,7757_1993,NA,NA
7757,1994,NA,6,NA,NA,C,NA,NA,0,NA,1,0,0,0,NA,NA,0,NA,0,14,NA,7757_1994,NA,NA
7757,2003,95,15,c,2,C,16.8,76.81,1,r,0,0,0,NA,NA,NA,NA,1,NA,6,NA,7757_2003,0,0
7757,2004,103,16,n,NA,C,17.248,77.047,1,r,1,0,0,0,NA,NA,0,NA,0,17,NA,7757_2004,0,0
7757,2005,117,17,c,3,C,17.362,77.055,1,r,1,0,0,1,NA,NA,1,1,1,6,NA,7757_2005,0,0
7757,2008,116,20,c,2,C,17.767,77.343,1,r,0,0,0,NA,NA,NA,NA,1,NA,6,NA,7757_2008,0,0
7757,2009,NA,21,NA,NA,C,NA,NA,0,NA,1,0,0,0,NA,NA,0,NA,0,14,NA,7757_2009,NA,NA
7761,1990,79,7,n,NA,O,16.5,77,1,n,0,0,0,NA,NA,NA,NA,NA,NA,11,NA,7761_1990,0,0
7761,1991,NA,8,NA,NA,O,NA,NA,0,NA,1,0,0,0,NA,NA,0,NA,0,14,NA,7761_1991,NA,NA
7761,1995,98,12,c,2,O,25.43,76.7,1,r,0,0,0,NA,NA,NA,NA,1,NA,6,NA,7761_1995,1,1
7765,1990,88,6,n,NA,O,16.5,77,1,n,0,0,0,NA,NA,NA,NA,NA,NA,11,NA,7765_1990,0,0
7765,1991,NA,7,NA,NA,O,NA,NA,0,NA,1,0,0,1,NA,NA,1,NA,1,15,NA,7765_1991,NA,NA
7765,2001,111,17,yr,1,O,25.802,77.202,1,r,0,0,0,NA,NA,NA,NA,0,NA,7,NA,7765_2001,0,0
7765,2005,104,21,2yr,1,O,13.202,78.566,1,r,0,0,0,NA,NA,NA,NA,0,NA,9,NA,7765_2005,0,0
7767,1990,88,16,n,NA,O,16.5,77,1,n,0,0,0,NA,NA,NA,NA,NA,NA,11,NA,7767_1990,0,0
7768,1990,96,10,yr,2,C,NA,NA,1,n,0,0,0,NA,NA,NA,NA,0,NA,8,NA,7768_1990,0,0
7768,1991,103,11,n,NA,C,18.883,78.383,1,r,1,0,0,0,NA,NA,0,NA,0,17,NA,7768_1991,0,0
7768,1992,NA,12,NA,NA,C,NA,NA,0,NA,1,0,0,1,NA,NA,1,1,1,15,NA,7768_1992,NA,NA
7768,1993,99,13,n,NA,C,18.69,78.33,1,r,1,0,0,0,NA,NA,0,NA,0,17,NA,7768_1993,0,0
7768,1994,NA,14,NA,NA,C,NA,NA,0,NA,1,0,0,1,NA,NA,1,NA,1,15,NA,7768_1994,NA,NA
7768,1995,NA,15,NA,NA,C,NA,NA,0,NA,1,0,0,0,NA,NA,0,NA,0,14,NA,7768_1995,NA,NA
