ID_year,ID_NR,year,doy_in,doy_in_lower,doy_in_upper,doy_out,doy_out_lower,doy_out_upper
7753_2011,7753,2011,340,NA,NA,NA,NA,NA
7755_1991,7755,1991,NA,NA,329,NA,420,448
7757_2005,7757,2005,NA,NA,NA,NA,NA,460
7765_1991,7765,1991,NA,303,342,NA,NA,458
7768_1992,7768,1992,NA,NA,NA,NA,NA,459
7768_1994,7768,1994,NA,278,290,NA,410,446
7773_1994,7773,1994,NA,324,342,NA,474,480
7774_1991,7774,1991,NA,292,304,NA,451,479
7789_1994,7789,1994,NA,287,299,NA,443,455
7790_1993,7790,1993,NA,335,359,NA,437,461
7790_1996,7790,1996,NA,247,297,NA,427,457
7791_1992,7791,1992,NA,319,349,NA,382,418
7792_1994,7792,1994,NA,283,295,NA,439,451
7793_1992,7793,1992,NA,302,337,NA,364,448
7793_1993,7793,1993,NA,308,NA,NA,NA,481
7793_1995,7793,1995,NA,307,313,NA,457,475
7802_1992,7802,1992,NA,304,352,NA,451,467
7803_1992,7803,1992,NA,251,358,NA,403,457
7804_1992,7804,1992,NA,270,294,NA,417,459
7806_1992,7806,1992,NA,240,258,NA,435,441
7807_1992,7807,1992,NA,276,282,NA,453,459
7814_1994,7814,1994,NA,333,345,NA,NA,434
7817_1994,7817,1994,NA,223,301,NA,457,475
7822_1996,7822,1996,NA,273,291,NA,447,453
7829_1993,7829,1993,NA,238,NA,NA,442,460
7830_1993,7830,1993,NA,301,343,NA,421,433
7830_1994,7830,1994,NA,259,289,NA,451,469
7834_1995,7834,1995,NA,235,NA,NA,NA,NA
7842_1993,7842,1993,NA,NA,338,NA,440,458
7842_1995,7842,1995,NA,243,273,NA,411,435
7873_1996,7873,1996,NA,241,271,NA,463,469
7877_1994,7877,1994,NA,307,331,NA,421,451
7884_1995,7884,1995,NA,267,303,NA,423,477
7898_1996,7898,1996,NA,325,331,NA,NA,451
7898_1999,7898,1999,NA,243,255,NA,NA,459
7911_1996,7911,1996,NA,245,257,NA,407,443
7917_1996,7917,1996,NA,250,304,NA,436,448
7917_1998,7917,1998,NA,275,NA,NA,413,467
7918_1996,7918,1996,NA,299,305,NA,443,473
7934_1996,7934,1996,NA,316,340,NA,406,436
7935_1997,7935,1997,NA,228,246,NA,426,432
7940_1996,7940,1996,NA,305,311,NA,461,467
7944_1997,7944,1997,NA,283,301,NA,457,463
7951_2012,7951,2012,326,NA,NA,NA,424,473
7991_1997,7991,1997,NA,225,369,NA,417,447
7993_1998,7993,1998,NA,243,303,NA,463,471
7997_1998,7997,1998,NA,328,334,NA,448,466
23001_1997,23001,1997,NA,325,343,NA,481,487
23004_1999,23004,1999,NA,246,276,NA,444,456
23013_1997,23013,1997,NA,305,311,NA,443,467
23071_1998,23071,1998,NA,236,248,NA,470,476
23076_1998,23076,1998,NA,272,290,NA,440,464
23091_1998,23091,1998,NA,349,355,NA,470,481
23113_1998,23113,1998,NA,302,350,NA,452,458
23113_1999,23113,1999,NA,333,345,NA,441,483
23113_2000,23113,2000,NA,310,322,NA,448,460
23123_1998,23123,1998,NA,323,329,NA,473,491
23145_1998,23145,1998,NA,322,334,NA,478,484
23154_1998,23154,1998,NA,283,329,NA,468,480
23158_1999,23158,1999,NA,272,290,NA,458,464
23165_1998,23165,1998,NA,320,332,NA,452,470
23165_2001,23165,2001,NA,263,305,NA,NA,NA
23166_1999,23166,1999,NA,261,309,NA,453,465
23169_1998,23169,1998,NA,274,280,NA,421,437
23170_1999,23170,1999,NA,284,364,NA,455,464
23171_1998,23171,1998,NA,310,346,NA,430,436
