ID_NR,year,doy_in,doy_in_lower,doy_in_upper,doy_out,doy_out_lower,doy_out_upper
7757,2005,300,NA,NA,451,NA,NA
7768,1992,NA,NA,342,NA,441,NA
7768,1994,NA,254,278,NA,422,494
7773,1994,NA,330,342,NA,474,486
7786,1993,NA,325,337,NA,371,NA
7789,1994,NA,239,275,NA,449,461
7790,1993,NA,311,329,NA,449,473
7790,1996,NA,229,313,NA,465,475
7791,1992,NA,337,418,NA,418,448
7792,1994,NA,283,NA,NA,427,457
7793,1992,NA,283,337,NA,418,454
7793,1993,NA,233,NA,NA,NA,NA
7793,1995,NA,253,295,NA,439,469
7802,1992,NA,304,334,NA,475,NA
7804,1992,NA,282,294,NA,453,465
7805,2003,NA,NA,288,NA,442,NA
7806,1992,NA,234,381,NA,459,489
7807,1992,NA,270,282,NA,441,471
7814,1994,NA,297,363,NA,453,471
7817,1994,NA,NA,NA,NA,469,475
7822,1996,NA,243,NA,NA,453,471
7822,2003,290,NA,NA,403,NA,NA
7830,1993,NA,319,337,NA,427,457
7830,1994,NA,NA,NA,NA,451,475
7834,1995,NA,270,318,NA,456,492
7842,1993,NA,302,326,NA,446,458
7842,1995,NA,255,303,NA,423,435
7873,1996,NA,NA,NA,NA,463,470
7877,1994,NA,289,295,NA,445,463
7884,1995,NA,279,285,NA,453,465
7898,1996,NA,271,331,NA,450,463
7898,1999,NA,261,267,NA,459,471
7911,1996,NA,227,329,NA,449,461
7917,1996,NA,262,280,NA,448,460
7917,1998,NA,281,NA,NA,NA,NA
7918,1996,NA,287,311,NA,437,473
7934,1996,NA,322,334,NA,430,454
7935,1997,NA,240,324,NA,414,438
7940,1996,NA,287,NA,NA,444,450
7944,1997,NA,211,331,NA,433,469
7991,1997,NA,261,369,NA,441,453
7993,1998,NA,213,NA,NA,465,495
7997,1998,NA,262,274,NA,472,496
23001,1997,NA,295,331,NA,469,493
23004,1999,NA,264,NA,NA,450,468
23013,1997,NA,NA,NA,NA,467,479
23071,1998,NA,236,NA,NA,470,482
23076,1998,NA,254,266,NA,464,476
23091,1998,NA,241,NA,NA,475,487
23105,2003,340,NA,NA,463,NA,NA
23113,1998,NA,296,308,NA,452,470
23113,1999,NA,285,NA,NA,453,477
23113,2000,NA,NA,NA,NA,454,484
23123,1998,NA,323,341,NA,473,503
23154,1998,NA,276,NA,NA,486,504
23158,1999,NA,206,NA,NA,458,470
23165,1998,NA,296,332,470,452,470
23166,1999,NA,231,NA,NA,453,465
23169,1998,NA,223,274,NA,424,449
23170,1999,NA,301,362,NA,458,473
23171,1998,NA,298,346,NA,430,442
23171,1999,NA,317,335,NA,431,449
23184,1999,NA,204,NA,NA,468,480
23186,1999,NA,288,324,NA,492,504
23186,2000,NA,337,NA,NA,481,493
23189,1999,NA,252,NA,NA,469,481
23189,2001,NA,219,NA,NA,NA,NA
23219,2015,268,NA,NA,469,NA,NA
23305,1999,NA,287,299,NA,461,473
23305,2000,NA,282,294,NA,450,516
23307,2000,NA,264,NA,NA,420,432
23315,2000,NA,233,NA,NA,NA,497
23317,1999,NA,208,NA,NA,460,472
23319,1999,NA,292,316,NA,478,490
23319,2000,NA,299,NA,NA,467,485
23321,2000,NA,269,317,NA,479,491
23324,2000,NA,254,266,NA,NA,524
23325,1999,NA,313,325,NA,457,469
23325,2000,NA,NA,NA,NA,470,482
23329,2000,NA,NA,NA,NA,457,469
23330,2000,NA,260,NA,NA,452,464
23331,1999,NA,325,337,NA,427,439
23331,2000,NA,302,356,NA,464,476
23413,2000,NA,327,339,NA,405,423
23413,2001,NA,340,352,NA,454,490
23416,2000,NA,303,315,NA,465,477
23416,2002,NA,316,328,NA,478,490
23423,2000,NA,355,367,NA,419,464
23425,2011,NA,331,339,440,NA,NA
23443,2001,NA,224,362,NA,422,452
23447,2001,NA,296,302,NA,440,476
23479,2008,NA,247,328,NA,426,498
23479,2009,NA,229,361,NA,439,481
23479,2013,317,NA,NA,393,NA,NA
23479,2014,294,NA,NA,NA,427,440
23479,2015,320,NA,NA,469,NA,NA
23500,2010,NA,240,288,NA,NA,420
23500,2015,315,NA,NA,461,NA,NA
23500,2018,297,NA,NA,443,NA,NA
23500,2020,261,NA,NA,422,NA,NA
23500,2021,306,NA,NA,444,NA,NA
23538,2002,NA,225,357,NA,435,447
23538,2003,NA,226,352,NA,406,490
23541,2003,NA,286,358,448,424,490
23637,2014,312,NA,NA,442,NA,NA
23639,2011,NA,262,274,NA,415,427
23679,2008,NA,340,365,NA,462,480
23688,2014,335,NA,NA,474,NA,NA
23688,2016,321,NA,NA,452,NA,NA
23689,2015,307,NA,NA,451,NA,NA
23689,2016,310,NA,NA,389,NA,NA
23689,2018,NA,310,329,456,NA,NA
23689,2020,303,NA,NA,457,NA,NA
23689,2022,291,NA,NA,452,NA,NA
23694,2003,269,NA,NA,428,NA,NA
23694,2004,NA,271,279,429,NA,NA
23701,2004,NA,254,366,462,NA,NA
23703,2008,NA,304,307,NA,444,446
23703,2015,329,NA,NA,410,NA,NA
23705,2004,324,NA,NA,470,NA,NA
23714,2004,NA,326,343,457,NA,NA
23719,2009,NA,309,321,NA,432,450
23719,2011,NA,292,304,NA,400,412
23719,2012,NA,323,335,NA,434,446
23732,2012,NA,313,318,NA,351,NA
23732,2015,322,NA,NA,468,NA,NA
23732,2017,NA,294,309,402,392,407
23732,2018,288,NA,NA,411,NA,NA
23802,2009,NA,344,356,NA,465,477
23802,2012,NA,299,314,NA,434,446
23802,2017,334,NA,NA,481,NA,NA
23802,2020,319,NA,NA,470,NA,NA
23803,2016,306,NA,NA,438,NA,NA
23808,2009,NA,297,361,474,468,480
23811,2017,NA,289,317,448,NA,NA
23811,2020,294,NA,NA,440,NA,NA
23831,2009,NA,294,310,NA,450,466
23831,2011,NA,282,294,NA,420,434
23851,2007,NA,334,345,460,NA,NA
23872,2015,325,NA,NA,NA,454,478
23881,2014,NA,304,315,NA,420,434
23881,2016,319,NA,NA,467,NA,NA
23881,2017,NA,252,315,448,NA,NA
23881,2020,332,NA,NA,404,NA,NA
23882,2015,303,NA,NA,463,NA,NA
23882,2018,306,NA,NA,450,NA,NA
23882,2021,NA,303,322,NA,416,423
23882,2022,284,NA,NA,438,NA,NA
23882,2024,279,NA,NA,446,NA,NA
23906,2014,384,NA,NA,486,NA,NA
23931,2009,NA,259,336,NA,425,438
23931,2010,NA,308,320,NA,428,440
23931,2012,NA,287,299,NA,405,417
23937,2013,NA,330,345,NA,434,446
23937,2015,346,NA,NA,462,NA,NA
23937,2023,325,NA,NA,434,NA,NA
23937,2024,320,NA,NA,389,NA,NA
23939,2010,NA,268,283,NA,432,446
23939,2018,302,NA,NA,423,NA,NA
23939,2021,326,NA,NA,442,NA,NA
23940,2018,329,NA,NA,NA,444,459
23944,2011,NA,318,330,NA,420,434
23944,2013,NA,305,316,NA,421,432
23944,2015,317,NA,NA,466,NA,NA
23944,2016,286,NA,NA,457,NA,NA
23952,2016,307,NA,NA,380,NA,NA
23952,2017,305,NA,NA,412,NA,NA
23952,2018,299,NA,NA,412,NA,NA
23952,2020,312,NA,NA,429,NA,NA
23952,2021,320,NA,NA,420,NA,NA
23952,2024,320,NA,NA,425,NA,NA
23956,2015,332,NA,NA,450,NA,NA
23956,2018,303,NA,NA,438,NA,NA
23958,2010,NA,300,324,NA,NA,NA
23958,2014,NA,299,316,451,NA,NA
23958,2016,NA,213,274,427,NA,NA
23977,2018,322,NA,NA,411,NA,NA
23977,2019,310,NA,NA,448,NA,NA
23977,2020,308,NA,NA,469,NA,NA
23979,2016,328,NA,NA,444,NA,NA
23980,2014,286,NA,NA,451,NA,NA
23980,2017,321,NA,NA,452,NA,NA
23980,2023,306,NA,NA,450,NA,NA
23989,2013,323,NA,NA,NA,417,NA
23992,2011,NA,323,335,NA,NA,NA
23992,2013,NA,NA,NA,NA,439,451
23992,2015,315,NA,NA,448,NA,NA
23992,2017,365,NA,NA,434,NA,NA
23992,2020,NA,298,304,429,NA,NA
23992,2022,305,NA,NA,429,NA,NA
26002,2010,296,NA,NA,NA,424,NA
26009,2014,281,NA,NA,408,NA,NA
26009,2015,324,NA,NA,457,NA,NA
26009,2016,NA,302,308,NA,460,470
26010,2016,320,NA,NA,NA,374,NA
