year,day_retreat,day_advance,ice_free_days
1979,199,318,119
1980,195,295,100
1981,203,316,113
1982,209,284,75
1983,182,304,122
1984,174,382,208
1985,181,305,124
1986,190,310,120
1987,201,284,83
1988,207,280,73
1989,198,296,98
1990,178,318,140
1991,193,300,107
1992,193,294,101
1993,207,283,76
1994,170,292,122
1995,187,302,115
1996,199,323,124
1997,195,304,109
1998,211,339,128
1999,178,336,158
2000,191,343,152
2001,166,314,148
2002,174,303,129
2003,209,305,96
2004,183,321,138
2005,175,308,133
2006,96,384,288
2007,166,376,210
2008,194,313,119
2009,170,369,199
2010,134,326,192
2011,167,345,178
2012,124,406,282
2013,136,342,206
2014,160,287,127
2015,164,446,282
2016,125,421,296
2017,164,430,266
2018,125,385,260
2019,181,330,149
2020,158,399,241
2021,170,329,159
2022,151,430,279
2023,145,358,213
2024,157,366,209
