ID_NR_cub,ID_NR_mother,year_birth,year_capture,litter_size,age_capture,day_number,parted
7737,NA,1987,1989,NA,2,84,1
7741,NA,1987,1989,NA,2,85,1
7756,7755,1988,1990,NA,2,66,0
7757,7755,1988,1990,NA,2,66,0
7766,NA,1988,1990,NA,2,88,1
7770,7771,1989,1991,NA,2,103,0
7796,NA,1989,1991,NA,2,105,1
7799,7798,1989,1991,NA,2,107,0
7800,7798,1989,1991,NA,2,107,0
7805,NA,1989,1991,NA,2,109,1
7811,NA,1990,1992,NA,2,100,1
7897,NA,1992,1994,NA,2,114,1
7905,NA,1992,1994,NA,2,115,1
7906,NA,1992,1994,NA,2,115,1
7910,NA,1993,1995,NA,2,89,1
7970,NA,1993,1995,NA,2,117,1
7971,7815,1993,1995,NA,2,117,0
7972,7815,1993,1995,NA,2,117,0
7974,NA,1994,1996,NA,2,122,1
7976,NA,1994,1996,NA,2,89,1
23084,NA,1995,1997,NA,2,94,1
23092,23091,1995,1997,NA,2,97,0
23093,23091,1995,1997,NA,2,97,0
23102,23101,1995,1997,NA,2,99,0
23105,23103,1996,1998,NA,2,95,0
23122,NA,1995,1997,NA,2,107,1
23152,NA,1995,1997,NA,2,116,1
23167,NA,1995,1997,NA,2,123,1
23234,23046,1996,1998,NA,2,104,0
23235,23236,1996,1998,NA,2,103,0
23284,NA,1996,1998,NA,2,107,1
23287,NA,1996,1998,NA,2,111,1
23311,NA,1996,1998,NA,2,121,1
23312,NA,1996,1998,NA,2,122,1
23407,NA,1997,1999,NA,2,105,1
23424,23423,1997,1999,NA,2,105,0
23434,NA,1998,2000,NA,2,85,1
23435,NA,1998,2000,NA,2,85,1
23445,NA,1998,2000,NA,2,86,1
23472,NA,1998,2000,NA,2,93,1
23479,NA,1998,2000,NA,2,93,1
23567,NA,1999,2001,NA,2,102,1
23591,23590,1999,2001,NA,2,110,0
23594,NA,1999,2001,NA,2,111,1
23601,NA,1999,2001,NA,2,111,1
